WHEN_TIMESTAMP,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,id
2020-05-04 00:00:00.000,2,0,0,1,1,0,0,1,81
2019-09-02 00:00:00.000,98,85,0,0,2,2,0,0,7
2019-10-21 00:00:00.000,22,2,0,0,3,1,0,0,661
2019-06-10 00:00:00.000,81,2,12,15,4,2,3,2,2813
2020-03-09 00:00:00.000,0,0,0,0,0,0,0,0,949
2020-01-27 00:00:00.000,47,42,34,0,4,2,2,0,2427
2019-11-18 00:00:00.000,51,7,77,2,5,3,6,1,4436
2020-03-30 00:00:00.000,0,0,0,0,0,0,0,0,154
2019-11-11 00:00:00.000,0,0,0,0,0,0,0,0,2435
2019-11-11 00:00:00.000,55,3,6,0,2,1,2,0,2
2019-10-07 00:00:00.000,0,0,0,0,0,0,0,0,4892
2019-07-22 00:00:00.000,0,0,0,0,0,0,0,0,1568
2020-01-13 00:00:00.000,0,0,0,0,0,0,0,0,2928
2019-12-16 00:00:00.000,8,0,0,18,4,0,0,3,183
2020-06-08 00:00:00.000,396,50,57,0,16,11,9,0,3
2019-09-30 00:00:00.000,0,0,0,0,0,0,0,0,2599
2019-10-21 00:00:00.000,0,0,0,0,0,0,0,0,161
2019-07-29 00:00:00.000,13,1,42,0,2,1,2,0,2696
2020-06-22 00:00:00.000,0,0,0,0,0,0,0,0,130
2019-10-14 00:00:00.000,0,0,0,0,0,0,0,0,3458
2020-04-20 00:00:00.000,1,0,0,0,1,0,0,0,4248
2020-06-08 00:00:00.000,66,2,0,0,5,2,0,0,107
2019-05-13 00:00:00.000,0,1,0,0,0,1,0,0,490
2020-04-20 00:00:00.000,8,0,0,0,1,0,0,0,3075
2019-08-05 00:00:00.000,10,24,27,0,1,1,1,0,3291
2019-06-17 00:00:00.000,324,37,293,9,14,8,12,1,69
2019-01-21 00:00:00.000,0,0,0,0,0,0,0,0,1196
2019-05-27 00:00:00.000,0,0,0,0,0,0,0,0,2022
2019-09-02 00:00:00.000,459,154,77,9,7,4,6,2,52
2019-04-08 00:00:00.000,0,0,0,0,0,0,0,0,1458
2019-04-15 00:00:00.000,1,0,0,0,1,0,0,0,1503
2020-03-16 00:00:00.000,0,0,0,0,0,0,0,0,1329
2019-11-11 00:00:00.000,3,0,0,0,1,0,0,0,1984
2019-04-08 00:00:00.000,7,5,15,0,2,1,3,0,100
2019-07-08 00:00:00.000,0,0,0,0,0,0,0,0,478
2020-07-06 00:00:00.000,32,104,0,0,1,2,0,0,1756
2019-09-16 00:00:00.000,0,0,0,0,0,0,0,0,609
2019-01-28 00:00:00.000,0,0,0,0,0,0,0,0,627
2019-11-25 00:00:00.000,58,0,0,0,2,0,0,0,548
2020-03-30 00:00:00.000,0,0,0,0,0,0,0,0,2399
2020-04-20 00:00:00.000,0,0,0,0,0,0,0,0,3692
2019-10-07 00:00:00.000,4,2,0,0,1,1,0,0,4748
2020-06-01 00:00:00.000,2,0,0,0,1,0,0,0,456
2019-06-03 00:00:00.000,0,0,0,0,0,0,0,0,1017
2020-01-13 00:00:00.000,9,1,37,0,2,1,4,0,125
2019-11-18 00:00:00.000,11,16,29,0,3,5,5,0,3608
2020-05-25 00:00:00.000,0,0,0,0,0,0,0,0,770
2019-08-12 00:00:00.000,503,3,529,19,9,3,8,4,115
2020-02-10 00:00:00.000,50,0,0,4,3,0,0,1,128
2019-02-04 00:00:00.000,1,6,82,0,1,2,6,0,54
2019-05-13 00:00:00.000,30,0,7,8,6,0,4,1,146
2020-04-27 00:00:00.000,2,0,3,0,2,0,2,0,35
2019-12-23 00:00:00.000,35,0,0,0,1,0,0,0,3056
2019-09-30 00:00:00.000,3,0,0,0,1,0,0,0,1902
2020-03-30 00:00:00.000,0,0,0,0,0,0,0,0,4629
2020-02-17 00:00:00.000,0,0,0,0,0,0,0,0,2752
2019-12-16 00:00:00.000,5,0,0,0,1,0,0,0,2536
2019-01-07 00:00:00.000,2,6,0,0,1,1,0,0,827
2019-12-16 00:00:00.000,10,1,0,0,4,1,0,0,469
2020-06-22 00:00:00.000,30,10,2,0,2,1,1,0,97
2020-06-22 00:00:00.000,31,17,118,0,6,5,9,0,33
2019-02-18 00:00:00.000,0,0,0,0,0,0,0,0,2811
2020-06-15 00:00:00.000,1,0,0,0,1,0,0,0,5106
2020-03-23 00:00:00.000,0,0,0,0,0,0,0,0,1027
2019-11-11 00:00:00.000,0,0,0,0,0,0,0,0,98
2019-12-09 00:00:00.000,3,0,0,5,1,0,0,1,123
2019-09-09 00:00:00.000,1026,998,307,29,36,52,32,6,85
2020-02-10 00:00:00.000,18,30,0,0,1,1,0,0,4667
2020-01-13 00:00:00.000,0,0,0,0,0,0,0,0,850
2020-02-17 00:00:00.000,0,0,0,0,0,0,0,0,1794
